Booking #,Sex,Race,Age,Book Date,Unnamed: 5,Release Date,Length of Stay,County Code,Release Authority,Offense Code,Offense Description,Unnamed: 12,Unnamed: 13
2025-03075,M,W,52,11/19/2025  6:15:00 PM,,,42.24,139,,NAR3022F5,NARCOTICS POSSESSION,,
2025-03076,M,W,43,11/19/2025  6:15:00 PM,,1/14/2026  8:00:00 AM,42.24,139,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03077,F,W,36,11/19/2025  6:15:00 PM,,11/20/2025  11:14:00 AM,1.0,139,BOND,JUS4829M1,"RESISTING ARREST, OBSTRUCTING JUSTICE W/O THREATS OF FORCE",,
2025-03078,M,W,51,11/20/2025  2:25:00 AM,,11/20/2025  7:08:00 PM,1.0,79,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-03079,M,W,29,11/20/2025  2:25:00 AM,,11/21/2025  7:15:00 AM,1.2,3,JUDGE,PRT5007M1,VIOLATION OF A PROTECTIVE ORDER,,
2025-03080,F,W,26,11/20/2025  4:39:00 AM,,11/26/2025  3:25:00 PM,6.45,79,BOND,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-03081,M,W,36,11/20/2025  10:45:00 AM,,11/21/2025  10:21:00 AM,1.0,109,BOND,HIT6610M1,"TRAFFIC - HIT AND RUN, ACCIDENT REPORTS DAMAGE OVER $250-DRIVER FAILS TO REPORT OR LEAVE NOTE",,
2025-03082,M,W,36,11/20/2025  11:07:00 AM,,11/21/2025  12:43:00 PM,1.07,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03083,M,W,28,11/20/2025  11:05:00 AM,,,41.54,47,,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03084,M,B,54,11/20/2025  1:16:00 PM,,11/21/2025  7:40:00 AM,1.0,65,DOC,RAP1144F9,"RAP-MENTAL INCAPACITY OR HELPLESSNESS,THROUGH THE USE OF",,
2025-03085,M,B,53,11/20/2025  3:47:00 PM,,11/20/2025  7:52:00 PM,1.0,65,BOND,LIC6809M1,TRAFFIC - LICENSE REVOKED - DRIVING WHILE (FIRST OFFENSE),,
2025-03086,M,W,57,11/20/2025  4:30:00 PM,,,41.31,139,,DNG4800F6,"DNG-CONCEAL, ETC., DEAD BODY",,
2025-03087,F,W,41,11/20/2025  6:50:00 PM,,11/20/2025  8:55:00 PM,1.0,137,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-03088,M,B,37,11/20/2025  7:25:00 PM,,11/21/2025  7:15:00 AM,1.0,3,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03089,M,W,21,11/21/2025  2:18:00 AM,,11/21/2025  2:18:00 PM,1.0,137,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-03090,M,W,25,11/21/2025  8:42:00 AM,,12/15/2025  9:51:00 AM,24.05,79,JUDGE,ASL1347F6,ASL-STRANGULATION RESULTING IN WOUNDING OR BODILY INJURY,,
2025-03091,M,B,48,11/21/2025  9:00:00 AM,,,40.62,47,,NAR3022F5,NARCOTICS POSSESSION,,
2025-03092,M,W,41,11/21/2025  9:00:00 AM,,,40.62,47,,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03093,M,B,34,11/21/2025  9:00:00 AM,,,40.62,47,,NAR3022F5,NARCOTICS POSSESSION,,
2025-03094,M,W,25,11/21/2025  9:00:00 AM,,,40.62,47,,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03095,M,W,32,11/21/2025  9:00:00 AM,,,40.62,47,,BND9975S9,BND - VIOLATIONS OF CONDITIONS OF RELEASE,,
2025-03096,M,W,46,11/21/2025  9:00:00 AM,,1/5/2026  8:00:00 AM,40.62,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03097,M,W,32,11/21/2025  9:00:00 AM,,12/30/2025  9:50:00 AM,39.03,47,JUDGE,LAR2359F9,LARCENY $1000 OR MORE NOT FROM PERSON,,
2025-03098,M,B,28,11/21/2025  9:00:00 AM,,,40.62,47,,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03099,M,W,71,11/21/2025  9:00:00 AM,,,40.62,47,,DWI5693F6,"PRIOR DWI MANSLAUGHTER, ASSAULT, FELONY DWI, BAC > .20",,
2025-03100,M,B,57,11/21/2025  11:01:00 AM,,12/8/2025  9:15:00 AM,16.93,137,JUDGE,FRD2743F9,FRAUD FALSE PRETENSES - OBTAIN MONEY BY - >=$1000,,
2025-03101,F,W,40,11/21/2025  12:56:00 PM,,11/26/2025  4:15:00 AM,4.64,137,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-03102,M,W,36,11/21/2025  4:18:00 PM,,,40.32,109,,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03103,M,W,27,11/21/2025  5:01:00 PM,,11/24/2025  10:40:00 AM,2.74,884,ICE,PRI9905S9,PRISONERS FEDERAL - FELONY,,
2025-03104,M,W,29,12/26/2025  6:00:00 PM,,12/28/2025  6:00:00 PM,2.0,79,SENTENCE SERVED,REC6648M1,TRAFFIC - RECKLESS DRIVING SPEED OVER 80 MPH,,
2025-03105,M,W,37,11/21/2025  7:00:00 PM,,11/21/2025  7:01:00 PM,1.0,65,SENTENCE SERVED,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-03106,M,W,43,11/21/2025  6:08:00 PM,,11/22/2025  1:43:00 AM,1.0,109,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03107,M,B,30,11/21/2025  6:08:00 PM,,,40.24,109,,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-03109,F,W,19,11/21/2025  6:00:00 PM,,11/22/2025  6:00:00 AM,1.0,109,SENTENCE SERVED,REC6648M1,TRAFFIC - RECKLESS DRIVING SPEED OVER 80 MPH,,
2025-03110,M,W,36,11/21/2025  9:27:00 PM,,11/21/2025  10:47:00 PM,1.0,109,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-03111,M,B,63,11/22/2025  4:06:00 AM,,12/9/2025  4:33:00 PM,17.52,65,SENTENCE SERVED,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-03112,M,B,22,11/22/2025  4:55:00 AM,,12/18/2025  5:10:00 PM,26.51,109,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03113,M,B,54,11/22/2025  11:22:00 AM,,11/22/2025  3:38:00 PM,1.0,137,BOND,HIT6603M1,HIT-DAMAGE TO ATTENDED PROPERTY-DRIVER FAILS TOREPORT<1000,,
2025-03114,M,U,24,11/22/2025  12:39:00 PM,,11/23/2025  3:57:00 PM,1.14,540,BOND,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-03115,F,W,37,11/22/2025  2:59:00 PM,,11/22/2025  3:38:00 PM,1.0,65,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-03116,M,W,47,11/22/2025  9:08:00 PM,,,39.12,137,,ASL1347F6,ASL-STRANGULATION RESULTING IN WOUNDING OR BODILY INJURY,,
2025-03117,M,W,52,11/22/2025  11:05:00 PM,,11/23/2025  10:04:00 AM,1.0,109,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-03118,F,W,33,11/23/2025  1:29:00 AM,,11/23/2025  4:21:00 AM,1.0,137,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-03119,F,W,19,11/23/2025  2:54:00 AM,,11/23/2025  3:30:00 PM,1.0,137,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-03120,M,W,50,11/23/2025  6:56:00 AM,,11/26/2025  3:01:00 PM,3.34,79,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-03121,M,W,31,11/23/2025  8:38:00 PM,,11/24/2025  3:32:00 PM,1.0,137,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03122,M,W,47,11/23/2025  9:39:00 PM,,12/1/2025  3:40:00 PM,7.75,109,BOND,WPN5232M1,WEAPONS RECKLESS HANDLING OF FIREARM,,
2025-03123,M,W,39,11/24/2025  9:00:00 AM,,11/28/2025  9:00:00 AM,4.0,79,SENTENCE SERVED,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-03124,M,W,43,11/24/2025  10:52:00 AM,,12/16/2025  6:54:00 AM,21.83,47,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-03125,M,W,53,11/24/2025  11:15:00 AM,,,37.53,137,,DES3237M1,DESERTION AND NONSUPPORT FAIL TO COMPLY WITH SUPPORT OBLIGATION - PAYROLL DEDUCTION,,
2025-03126,M,W,30,11/24/2025  12:41:00 PM,,12/2/2025  5:27:00 AM,7.7,47,JUDGE,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-03127,M,W,30,11/24/2025  1:04:00 PM,,12/19/2025  9:16:00 AM,24.84,109,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-03128,M,W,30,11/24/2025  3:20:00 PM,,12/11/2025  6:05:00 PM,17.11,79,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-03129,M,W,57,11/24/2025  5:00:00 PM,,12/19/2025  7:40:00 AM,24.61,113,JUDGE,FRD2805F9,FAIL TO PERFORM CONSTRUCTION IN RETURN FOR ADVANCES - > $1000,,
2025-03130,M,B,19,11/24/2025  5:00:00 PM,,11/26/2025  5:00:00 PM,2.0,79,SENTENCE SERVED,REC6648M1,TRAFFIC - RECKLESS DRIVING SPEED OVER 80 MPH,,
2025-03131,F,W,42,11/24/2025  10:21:00 PM,,11/25/2025  5:00:00 PM,1.0,47,HOSPITAL/TREATMENT,NAR3022F5,NARCOTICS POSSESSION,,
2025-03132,M,B,19,11/25/2025  6:27:00 AM,,12/3/2025  12:54:00 PM,8.27,13,JUDGE,ROB1231F2,ROBBERY CAUSES SERIOUS BODILY INJURY,,
2025-03133,F,W,29,11/25/2025  12:55:00 PM,,12/30/2025  6:17:00 PM,35.22,47,JUDGE,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-03134,F,W,42,11/25/2025  2:19:00 PM,,11/26/2025  10:38:00 PM,1.35,47,HOSPITAL/TREATMENT,DWI5407M1,TRAFFIC - DRIVING WHILE INTOXICATED DRIVING ON SUSPENDED LICENSE AFTER DWI CONVICTION,,
2025-03135,M,B,50,11/25/2025  2:22:00 PM,,,36.4,137,,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03136,F,W,26,11/25/2025  2:19:00 PM,,1/9/2026  7:39:00 AM,36.4,47,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-03137,M,W,27,11/25/2025  2:55:00 PM,,1/8/2026  9:18:00 AM,36.38,79,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-03138,F,W,36,11/25/2025  2:49:00 PM,,12/10/2025  1:37:00 PM,14.95,79,BOND,WPN5297F6,"WEAPONS CONVICTED FELON (NON-VIOLENT) POSSESS/TRANSPORT FIREARM, TASER, ETC.",,
2025-03139,F,W,32,11/25/2025  6:25:00 PM,,12/16/2025  1:10:00 PM,20.78,113,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-03140,M,B,37,11/25/2025  7:20:00 PM,,12/8/2025  4:00:00 PM,12.86,137,BOND,ASL1334F3,ASSAULT STAB - CUT - WOUND WITH MALICIOUS INTENT,,
2025-03141,M,W,48,11/25/2025  8:03:00 PM,,,36.16,65,,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-03142,F,W,43,11/25/2025  9:19:00 PM,,11/26/2025  9:27:00 AM,1.0,3,JUDGE,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-03143,M,W,33,11/26/2025  9:05:00 AM,,12/15/2025  6:23:00 PM,19.39,109,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-03144,M,W,29,11/26/2025  10:23:00 AM,,,35.57,137,,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03145,M,W,44,11/26/2025  1:28:00 PM,,,35.44,137,,ASL1334F3,ASSAULT STAB - CUT - WOUND WITH MALICIOUS INTENT,,
2025-03146,F,W,63,11/26/2025  2:12:00 PM,,11/26/2025  5:02:00 PM,1.0,113,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03147,M,B,57,11/26/2025  8:47:00 PM,,,35.13,137,,FRD2743F9,FRAUD FALSE PRETENSES - OBTAIN MONEY BY - >=$1000,,
2025-03148,M,B,25,11/26/2025  10:12:00 PM,,,35.07,137,,SEX3635F6,SEX OFFENSES TAKE INDECENT LIBERTIES WITH CHILD-CUSTODIAN,,
2025-03149,M,B,43,11/26/2025  11:23:00 PM,,11/27/2025  2:25:00 PM,1.0,109,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-03150,F,W,42,11/26/2025  10:39:00 PM,,11/27/2025  3:48:00 AM,1.0,47,HOSPITAL/TREATMENT,DWI5407M1,TRAFFIC - DRIVING WHILE INTOXICATED DRIVING ON SUSPENDED LICENSE AFTER DWI CONVICTION,,
2025-03151,M,B,32,11/27/2025  5:29:00 AM,,11/27/2025  11:20:00 PM,1.0,137,BOND,DWI5441M1,"REFUSAL OF BLOOD OR BREATH TEST, 2ND DWI/REFUSAL WITHIN 10 YEARS",,
2025-03152,M,W,50,11/27/2025  4:53:00 PM,,11/28/2025  8:30:00 AM,1.0,109,BOND,DWI5444M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL > .20,,
2025-03153,F,W,42,11/28/2025  1:30:00 PM,,12/3/2025  12:30:00 PM,4.96,47,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-03154,F,B,36,11/28/2025  6:00:00 PM,,11/29/2025  6:00:00 PM,1.0,109,SENTENCE SERVED,REC6648M1,TRAFFIC - RECKLESS DRIVING SPEED OVER 80 MPH,,
2025-03155,F,W,42,11/27/2025  3:49:00 AM,,11/28/2025  9:06:00 PM,1.72,47,HOSPITAL/TREATMENT,DWI5407M1,TRAFFIC - DRIVING WHILE INTOXICATED DRIVING ON SUSPENDED LICENSE AFTER DWI CONVICTION,,
2025-03156,M,W,29,11/29/2025  7:52:00 AM,,,32.67,79,,DWI5478F6,DWI-DRIVING ON SUSP/LICENSE AFTER DWI CONVICTION 3RD IN 10YRS,,
2025-03157,M,W,25,11/29/2025  8:00:00 AM,,11/29/2025  8:01:00 AM,1.0,137,SENTENCE SERVED,DWI5462M1,"DWI - FIRST CONVICTION, INFLUENCE OF DRUGS",,
2025-03158,M,W,53,11/29/2025  12:24:00 PM,,,32.48,109,,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-03159,F,W,42,11/28/2025  9:07:00 PM,,11/29/2025  12:45:00 PM,1.0,47,HOSPITAL/TREATMENT,DWI5407M1,TRAFFIC - DRIVING WHILE INTOXICATED DRIVING ON SUSPENDED LICENSE AFTER DWI CONVICTION,,
2025-03160,M,W,22,11/30/2025  7:07:00 PM,,12/1/2025  10:47:00 AM,1.0,881,RELEASE TO FEDERAL,PRI9905S9,PRISONERS FEDERAL - FELONY,,
2025-03161,M,W,58,12/1/2025  1:33:00 AM,,12/18/2025  12:28:00 PM,17.45,137,BOND,PRT5007M1,VIOLATION OF A PROTECTIVE ORDER,,
2025-03162,F,W,42,11/29/2025  12:46:00 PM,,1/4/2026  8:00:00 AM,32.47,47,SENTENCE SERVED,DWI5407M1,TRAFFIC - DRIVING WHILE INTOXICATED DRIVING ON SUSPENDED LICENSE AFTER DWI CONVICTION,,
2025-03163,M,B,40,12/1/2025  11:24:00 AM,,12/18/2025  6:20:00 AM,16.79,79,DOC,ASL1334A3,ATTEMPTED WOUNDING,,
2025-03164,M,B,24,12/1/2025  11:28:00 AM,,,30.52,137,,HIT6603M1,HIT-DAMAGE TO ATTENDED PROPERTY-DRIVER FAILS TOREPORT<1000,,
2025-03165,F,W,30,12/1/2025  1:33:00 PM,,12/1/2025  2:14:00 PM,1.0,109,BOND,LAR2359F9,LARCENY $1000 OR MORE NOT FROM PERSON,,
2025-03167,M,W,20,12/1/2025  4:40:00 PM,,12/3/2025  4:00:00 PM,1.97,139,SENTENCE SERVED,REC6625M1,TRAFFIC - RECKLESS DRIVING ENDANGER LIFE OR LIMB,,
2025-03168,F,W,49,12/1/2025  4:40:00 PM,,12/12/2025  10:07:00 AM,10.73,139,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-03169,F,W,39,12/1/2025  4:40:00 PM,,12/4/2025  11:29:00 AM,2.78,139,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-03170,M,W,37,12/1/2025  5:07:00 PM,,12/2/2025  3:35:00 PM,1.0,177,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03171,F,W,31,12/1/2025  8:03:00 PM,,12/12/2025  4:06:00 PM,10.84,137,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03172,M,W,47,12/1/2025  9:19:00 PM,,12/4/2025  6:23:00 PM,2.88,65,BOND,LAR2412F6,"UNAUTHORIZED USE OF ANIMAL, AUTO, BOAT WORTH $1000 OR MORE",,
2025-03173,F,W,29,12/1/2025  10:05:00 PM,,12/2/2025  12:03:00 AM,1.0,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03174,M,W,39,12/2/2025  12:50:00 AM,,12/22/2025  11:02:00 AM,20.43,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-03175,F,W,23,12/1/2025  10:04:00 PM,,12/2/2025  3:21:00 AM,1.0,109,HOSPITAL/TREATMENT,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03176,M,B,37,12/2/2025  3:31:00 AM,,12/22/2025  11:02:00 AM,20.31,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-03177,F,W,23,12/2/2025  3:22:00 AM,,12/20/2025  8:00:00 AM,18.19,109,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03178,M,W,33,12/1/2025  4:26:00 PM,,,30.31,109,,FRD2520F5,FRAUD FORGERY,,
2025-03180,F,W,34,12/2/2025  10:03:00 AM,,12/5/2025  12:57:00 PM,3.12,109,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-03181,M,W,43,12/2/2025  12:24:00 PM,,,29.48,881,,PRI9905S9,PRISONERS FEDERAL - FELONY,,
2025-03182,M,B,35,12/2/2025  12:43:00 PM,,,29.47,881,,PRI9905S9,PRISONERS FEDERAL - FELONY,,
2025-03183,M,W,44,12/2/2025  2:24:00 PM,,,29.4,137,,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-03184,F,W,42,12/2/2025  12:24:00 PM,,,29.48,47,,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-03185,F,W,38,12/2/2025  2:33:00 PM,,12/15/2025  7:00:00 PM,13.19,79,BOND,PRI9920S9,PRI-VIOLATION OF RECOGNIZED CONDITIONS OR BOND,,
2025-03186,M,W,54,12/2/2025  8:08:00 PM,,,29.16,109,,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03187,M,W,41,12/3/2025  9:40:00 AM,,12/11/2025  7:20:00 PM,8.4,113,BOND,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-03188,F,W,21,12/3/2025  11:10:00 AM,,12/13/2025  8:00:00 AM,9.87,47,SENTENCE SERVED,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-03189,F,W,43,12/3/2025  12:20:00 PM,,12/3/2025  2:46:00 PM,1.0,109,BOND,DWI5464S9,"DWI - SECOND CONVICTION WITHIN LESS THAN 5 YRS., DRUGS",,
2025-03190,F,W,24,12/3/2025  1:02:00 PM,,1/12/2026  12:44:00 PM,28.46,79,SUSPENDED SENTENCE,NAR3022F5,NARCOTICS POSSESSION,,
2025-03191,M,W,59,12/3/2025  3:11:00 PM,,12/10/2025  5:00:00 PM,7.08,109,HOSPITAL/TREATMENT,HIT6608F5,"TRAFFIC - HIT AND RUN, ACCIDENT REPORTS VICTIM INJURED - DRIVER FAILS TO STOP, REPORT OR ASSIST",,
2025-03192,M,W,31,12/4/2025  12:55:00 AM,,,27.96,113,,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-03193,M,W,47,12/4/2025  7:40:00 AM,,,27.68,137,,DES3237M1,DESERTION AND NONSUPPORT FAIL TO COMPLY WITH SUPPORT OBLIGATION - PAYROLL DEDUCTION,,
2025-03194,M,B,28,12/4/2025  8:50:00 AM,,,27.63,137,,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-03195,F,W,33,12/4/2025  11:15:00 AM,,12/4/2025  1:00:00 PM,1.0,79,BOND,VAN2956F6,"VANDALISM, DAMAGE PROPERTY INTENTIONALLY - DAMAGE/DESTROY ANY PROPERTY OR MONUMENT >=$1000",,
2025-03196,M,W,54,12/4/2025  11:25:00 AM,,,27.52,139,,NAR3022F5,NARCOTICS POSSESSION,,
2025-03197,M,B,36,12/4/2025  12:15:00 PM,,12/17/2025  9:32:00 AM,12.89,109,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-03198,M,W,26,12/4/2025  1:02:00 PM,,,27.46,47,,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03199,M,W,37,12/4/2025  1:02:00 PM,,,27.46,137,,SOR3657F6,SEX OFFENDER REGISTRY VIOLENT OFFENDER - FAIL TO REGISTER OR PROVIDE FALSE INFO.,,
2025-03200,F,W,32,12/4/2025  1:05:00 PM,,12/14/2025  2:20:00 PM,10.05,109,BOND,FTA5019F6,FAILURE TO APPEAR FAIL TO APPEAR IN COURT FOR FELONY OFFENSE,,
2025-03201,M,W,56,12/4/2025  2:38:00 PM,,12/17/2025  9:35:00 AM,12.79,109,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-03202,M,W,27,12/4/2025  3:41:00 PM,,12/6/2025  7:00:00 AM,1.64,65,BOND,LAR2412F6,"UNAUTHORIZED USE OF ANIMAL, AUTO, BOAT WORTH $1000 OR MORE",,
2025-03203,F,W,44,12/4/2025  3:54:00 PM,,,27.34,47,,NAR3022F5,NARCOTICS POSSESSION,,
2025-03204,F,W,42,12/4/2025  3:55:00 PM,,12/10/2025  10:50:00 AM,5.79,47,JUDGE,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-03205,M,W,19,12/4/2025  4:35:00 PM,,12/12/2025  3:36:00 PM,7.96,139,BOND,VAN2955F6,"VANDALISM, DAMAGE PROPERTY DAMAGE TO PUBLIC BUILDING - >$1000",,
2025-03206,M,W,35,12/4/2025  4:35:00 PM,,,27.31,79,,WPN5296F6,"WEAPONS CONVICTED FELON (VIOLENT) POSSESS/TRANSPORT FIREARM, TASER, ETC.",,
2025-03207,M,W,27,12/4/2025  4:35:00 PM,,12/16/2025  8:10:00 AM,11.65,139,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-03208,M,W,25,12/4/2025  10:20:00 PM,,12/5/2025  2:54:00 PM,1.0,79,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-03209,M,W,37,12/4/2025  10:34:00 AM,,12/5/2025  12:10:00 AM,1.0,881,HOSPITAL/TREATMENT,PRI9905S9,PRISONERS FEDERAL - FELONY,,
2025-03210,M,W,37,12/5/2025  12:11:00 AM,,,26.99,881,,PRI9905S9,PRISONERS FEDERAL - FELONY,,
2025-03211,M,B,35,12/5/2025  3:30:00 AM,,12/5/2025  10:34:00 AM,1.0,69,BOND,FRD2743F9,FRAUD FALSE PRETENSES - OBTAIN MONEY BY - >=$1000,,
2025-03212,M,W,48,12/5/2025  7:14:00 AM,,12/5/2025  2:45:00 PM,1.0,109,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-03213,M,W,28,12/5/2025  11:00:00 AM,,12/9/2025  11:00:00 AM,4.0,113,SENTENCE SERVED,REC6646M1,TRAFFIC - RECKLESS DRIVING 20 MPH OR MORE OVER SPEED LIMIT -LIMIT IS 30 MPH OR LESS,,
2025-03214,M,W,35,12/5/2025  12:31:00 PM,,,26.48,47,,PRI3261F5,PRISONERS POSSESS - SELL - SECRETE SCH. III DRUG OR MARIJUANA,,
2025-03215,F,W,64,12/5/2025  1:05:00 PM,,,26.45,47,,NAR3022F5,NARCOTICS POSSESSION,,
2025-03216,F,B,35,12/5/2025  1:00:00 PM,,12/6/2025  1:00:00 PM,1.0,113,SENTENCE SERVED,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-03217,M,W,25,12/5/2025  2:55:00 PM,,12/7/2025  10:26:00 AM,1.81,884,ICE,PRI9905S9,PRISONERS FEDERAL - FELONY,,
2025-03218,F,W,42,12/5/2025  3:27:00 PM,,12/8/2025  1:36:00 PM,2.92,47,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-03219,M,W,20,12/5/2025  5:00:00 PM,,12/8/2025  5:00:00 PM,3.0,109,SENTENCE SERVED,REC6648M1,TRAFFIC - RECKLESS DRIVING SPEED OVER 80 MPH,,
2025-03220,M,B,40,12/5/2025  6:00:00 PM,,12/7/2025  6:00:00 PM,2.0,109,SENTENCE SERVED,DWI5443M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL.15 TO .20,,
2025-03221,M,W,37,12/26/2025  6:00:00 PM,,12/28/2025  6:00:00 PM,2.0,109,STATUS CHANGE,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
