Booking #,Sex,Race,Age,Book Date,Unnamed: 5,Release Date,Length of Stay,County Code,Release Authority,Offense Code,Offense Description,Unnamed: 12,Unnamed: 13
2025-00121,M,B,49,1/17/2025  7:45:00 AM,,2/23/2025  8:00:00 AM,37.01,137,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00122,M,B,18,1/17/2025  9:00:00 AM,,1/19/2025  9:00:00 AM,2.0,137,SENTENCE SERVED,REC6648M1,TRAFFIC - RECKLESS DRIVING SPEED OVER 80 MPH,,
2025-00123,M,B,66,1/17/2025  8:00:00 AM,,1/21/2025  8:00:00 AM,4.0,137,SENTENCE SERVED,ASL1335F6,ASSAULT STAB - CUT - WOUND WITHOUT MALICIOUS INTENT,,
2025-00124,M,B,32,1/17/2025  11:00:00 AM,,1/21/2025  11:00:00 AM,4.0,65,SENTENCE SERVED,LIC6809M1,TRAFFIC - LICENSE REVOKED - DRIVING WHILE (FIRST OFFENSE),,
2025-00125,M,B,35,1/17/2025  11:25:00 AM,,10/13/2025  2:45:00 PM,269.14,109,STATUS CHANGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00126,F,W,39,1/17/2025  11:24:00 AM,,2/14/2025  8:00:00 AM,27.86,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00127,M,B,24,1/17/2025  1:40:00 PM,,2/2/2025  8:00:00 AM,15.76,109,SENTENCE SERVED,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00128,M,B,40,1/17/2025  2:09:00 PM,,1/23/2025  7:00:00 PM,6.2,65,BOND,SSV4849F9,SSV-SUSPENDED SENTENCE VIOLATION - FELONY,,
2025-00129,M,B,33,1/17/2025  2:32:00 PM,,3/1/2025  8:00:00 AM,42.73,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00130,M,W,46,1/17/2025  3:00:00 PM,,5/15/2025  12:42:00 PM,117.9,113,PURGE,DES3237M1,DESERTION AND NONSUPPORT FAIL TO COMPLY WITH SUPPORT OBLIGATION - PAYROLL DEDUCTION,,
